seed,dataset,alpha,acc,disparity,time
3,COMPAS,0.4111111111111111,0.6458333333333334,0.0107529701801778,0.1800699999999997
3,COMPAS,0.4222222222222222,0.6609848484848485,0.136469054300626,0.1841660000000002
3,COMPAS,0.4333333333333333,0.6893939393939394,0.2126390486431399,0.1937569999999997
3,COMPAS,0.4444444444444445,0.6837121212121212,0.2464865512939157,0.1816049999999993
3,COMPAS,0.4555555555555555,0.6818181818181818,0.2724210668295223,0.1833089999999995
3,COMPAS,0.4666666666666667,0.6827651515151515,0.276313866835517,0.1767000000000003
3,COMPAS,0.4777777777777777,0.6827651515151515,0.276313866835517,0.1710909999999987
3,COMPAS,0.4888888888888889,0.6827651515151515,0.276313866835517,0.1571999999999995
3,COMPAS,0.5,0.6818181818181818,0.2810234429736646,0.1495250000000005
4,COMPAS,0.4,0.5340909090909091,0.3095673185834026,0.188413
4,COMPAS,0.4111111111111111,0.5568181818181818,0.24586574039115,0.1858189999999999
4,COMPAS,0.4222222222222222,0.5965909090909091,0.1556142867930227,0.1911819999999999
4,COMPAS,0.4333333333333333,0.6354166666666666,0.0320093634372876,0.1908289999999999
4,COMPAS,0.4444444444444445,0.6647727272727273,0.0734878803896398,0.1853870000000004
4,COMPAS,0.4555555555555555,0.6647727272727273,0.1367665936721286,0.1861570000000005
4,COMPAS,0.4666666666666667,0.6732954545454546,0.1635052480555765,0.1770789999999991
4,COMPAS,0.4777777777777777,0.6723484848484849,0.166367137355584,0.1916250000000001
4,COMPAS,0.4888888888888889,0.6695075757575758,0.1927282337838858,0.1825340000000004
4,COMPAS,0.5,0.6695075757575758,0.2037982330287699,0.1841350000000012
5,COMPAS,0.4,0.5369318181818182,0.2436454550866122,0.186565
5,COMPAS,0.4111111111111111,0.5833333333333334,0.1594588963628787,0.1928399999999996
5,COMPAS,0.4222222222222222,0.6496212121212122,0.0243020417882016,0.1884029999999996
5,COMPAS,0.4333333333333333,0.6647727272727273,0.1375825942020358,0.182728
5,COMPAS,0.4444444444444445,0.6770833333333334,0.1945949163640693,0.1891060000000006
5,COMPAS,0.4555555555555555,0.6714015151515151,0.2168879099946425,0.1805139999999996
5,COMPAS,0.4666666666666667,0.6704545454545454,0.2341954878266563,0.1799500000000016
5,COMPAS,0.4777777777777777,0.6714015151515151,0.2421572712661468,0.181108
5,COMPAS,0.4888888888888889,0.6732954545454546,0.2531995952140008,0.1746259999999981
5,COMPAS,0.5,0.6732954545454546,0.2531995952140008,0.1639370000000006
6,COMPAS,0.4,0.5445075757575758,0.2354312354312354,0.1825999999999999
6,COMPAS,0.4111111111111111,0.5757575757575758,0.1850079744816587,0.1809569999999998
6,COMPAS,0.4222222222222222,0.6164772727272727,0.0536130536130536,0.1815220000000001
6,COMPAS,0.4333333333333333,0.6429924242424242,0.0722610722610722,0.1869259999999997
6,COMPAS,0.4444444444444445,0.65625,0.1551956815114709,0.1898790000000003
6,COMPAS,0.4555555555555555,0.6723484848484849,0.2110170531223162,0.1839799999999991
6,COMPAS,0.4666666666666667,0.6723484848484849,0.2522389890810943,0.1766860000000001
6,COMPAS,0.4777777777777777,0.6732954545454546,0.2570236780763096,0.1554499999999983
6,COMPAS,0.4888888888888889,0.6761363636363636,0.2777573303889093,0.1633300000000002
6,COMPAS,0.5,0.678030303030303,0.2762851183903815,0.1524210000000021
7,COMPAS,0.4,0.5539772727272727,0.2553699284009546,0.197903
7,COMPAS,0.4111111111111111,0.5511363636363636,0.2554336219525446,0.177262
7,COMPAS,0.4222222222222222,0.5994318181818182,0.1422127139822332,0.175348
7,COMPAS,0.4333333333333333,0.6429924242424242,0.0101272747027946,0.1747450000000006
7,COMPAS,0.4444444444444445,0.6742424242424242,0.1365964414038058,0.1747430000000003
7,COMPAS,0.4555555555555555,0.6931818181818182,0.211132883482014,0.1832130000000003
7,COMPAS,0.4666666666666667,0.7017045454545454,0.244099916449047,0.1848590000000012
7,COMPAS,0.4777777777777777,0.7017045454545454,0.265388549398096,0.1766480000000001
7,COMPAS,0.4888888888888889,0.7017045454545454,0.2905062888015496,0.1770519999999997
7,COMPAS,0.5,0.696969696969697,0.3079021217446038,0.1724759999999978
8,COMPAS,0.4,0.5359848484848485,0.256525393480939,0.1832479999999999
8,COMPAS,0.4111111111111111,0.5833333333333334,0.1719687287716025,0.186306
8,COMPAS,0.4222222222222222,0.6363636363636364,0.0041219071304387,0.1852059999999999
8,COMPAS,0.4333333333333333,0.6723484848484849,0.1319470830023142,0.1886870000000007
8,COMPAS,0.4444444444444445,0.6808712121212122,0.1977479188974474,0.1823869999999994
8,COMPAS,0.4555555555555555,0.6865530303030303,0.2602443208639886,0.1771890000000002
8,COMPAS,0.4666666666666667,0.6856060606060606,0.2708023902455874,0.1721079999999997
8,COMPAS,0.4777777777777777,0.6875,0.281832521616985,0.1816270000000006
8,COMPAS,0.4888888888888889,0.6865530303030303,0.286357408494813,0.1755910000000025
8,COMPAS,0.5,0.6875,0.2908822953726412,0.1651440000000015
9,COMPAS,0.4,0.5350378787878788,0.3156911090845633,0.181667
9,COMPAS,0.4111111111111111,0.5965909090909091,0.1530606500714921,0.1910179999999997
9,COMPAS,0.4222222222222222,0.646780303030303,0.0314790421184179,0.1909649999999993
9,COMPAS,0.4333333333333333,0.6837121212121212,0.1717949583994776,0.1874219999999997
9,COMPAS,0.4444444444444445,0.6818181818181818,0.2368921763997252,0.1881839999999996
9,COMPAS,0.4555555555555555,0.6846590909090909,0.2597358732732124,0.2741430000000004
9,COMPAS,0.4666666666666667,0.6846590909090909,0.2858107879893268,0.1800380000000014
9,COMPAS,0.4777777777777777,0.6827651515151515,0.2920705688969951,0.164718999999998
9,COMPAS,0.4888888888888889,0.6818181818181818,0.290505623670078,0.1523869999999991
9,COMPAS,0.5,0.6827651515151515,0.2952004593508291,0.1536210000000011
10,COMPAS,0.4,0.5445075757575758,0.1891891891891892,0.192664
10,COMPAS,0.4111111111111111,0.5359848484848485,0.2073043767959022,0.1895409999999997
10,COMPAS,0.4222222222222222,0.5833333333333334,0.1158539124640819,0.1891639999999994
10,COMPAS,0.4333333333333333,0.6420454545454546,0.084953983259068,0.1895539999999993
10,COMPAS,0.4444444444444445,0.6714015151515151,0.1946862116353642,0.184393
10,COMPAS,0.4555555555555555,0.6856060606060606,0.2541956440261524,0.1909869999999989
10,COMPAS,0.4666666666666667,0.6856060606060606,0.2942572773081248,0.1853260000000016
10,COMPAS,0.4777777777777777,0.6846590909090909,0.3296964144421771,0.1863510000000001
