Unnamed: 0,seed,dataset,lambda,acc,disparity,time
0,3,AdultCensus,0.55,0.8446052003002799,0.076811426271014,463.24021900000025
0,3,AdultCensus,0.65,0.8457653722787143,0.0908623719908993,461.0842739999998
0,3,AdultCensus,0.75,0.8376441684296732,0.0359288227198132,484.83011499999975
0,3,AdultCensus,0.8500000000000001,0.8321845355899816,0.0096275422475353,476.304567000001
0,3,AdultCensus,0.95,0.8345048795468505,0.0033574390907355,457.819974
0,4,AdultCensus,0.05,0.8509520234764212,0.1676605612480587,460.19048
0,4,AdultCensus,0.15,0.8510202688869174,0.1569083485586612,472.547122
0,4,AdultCensus,0.25,0.8519074592233672,0.1430747046964425,459.3830439999999
0,4,AdultCensus,0.35,0.8461748447416911,0.1013329431875959,462.0224780000003
0,4,AdultCensus,0.45,0.8484269432880639,0.1126261335399286,465.6630670000004
0,4,AdultCensus,0.55,0.8464478263836757,0.0954058360057937,469.8912470000005
0,4,AdultCensus,0.65,0.8474032621306217,0.0891587242487073,463.61564
0,4,AdultCensus,0.75,0.8396915307445574,0.0385504123335916,487.37633300000016
0,4,AdultCensus,0.8500000000000001,0.8362792602197502,0.0339484066795948,476.2980719999996
0,4,AdultCensus,0.95,0.8303419095065857,0.0101574552222064,458.58845100000144
0,5,AdultCensus,0.05,0.8551832389271822,0.1547147883695749,466.077416
0,5,AdultCensus,0.15,0.8533406128437863,0.1544166459740641,468.0337589999999
0,5,AdultCensus,0.25,0.8527946495598171,0.1256948491467046,459.0889420000003
0,5,AdultCensus,0.35,0.8523169316863441,0.1316817469286265,462.2531720000002
0,5,AdultCensus,0.45,0.8510885142974135,0.1153379482059935,464.30219600000055
0,5,AdultCensus,0.55,0.8486316795195523,0.0907579235775736,460.6772940000001
0,5,AdultCensus,0.65,0.8410564389544803,0.0540280473446745,461.896807000001
0,5,AdultCensus,0.75,0.8441274824268068,0.0508255503809972,490.3735059999999
0,5,AdultCensus,0.8500000000000001,0.8363475056302464,0.0059268892346101,475.2715370000005
0,5,AdultCensus,0.95,0.8336176892104006,0.0131720661690306,464.6806779999988
0,6,AdultCensus,0.05,0.854637275643213,0.2016234168669091,465.93386
0,6,AdultCensus,0.15,0.8536135944857708,0.1649602534675742,462.8565489999999
0,6,AdultCensus,0.25,0.8563434109056166,0.1520714075694292,457.4548799999998
0,6,AdultCensus,0.35,0.846106599331195,0.0997064868854527,464.82645900000034
0,6,AdultCensus,0.45,0.8516344775813827,0.1168484200247453,467.2566630000001
0,6,AdultCensus,0.55,0.845628881457722,0.075907079727249,466.61791600000015
0,6,AdultCensus,0.65,0.8393503036920767,0.0435420552240021,464.9399540000004
0,6,AdultCensus,0.75,0.8409881935439841,0.0408385549995034,486.9320330000001
0,6,AdultCensus,0.8500000000000001,0.8340954070838736,0.0174162312482245,475.66159700000026
0,6,AdultCensus,0.95,0.8265884119292978,0.0191848938066023,463.06437600000027
0,7,AdultCensus,0.05,0.8488364157510407,0.1646323413381013,462.238546
0,7,AdultCensus,0.15,0.8464478263836757,0.1716475946298191,469.783139
0,7,AdultCensus,0.25,0.8463113355626835,0.1302134561281666,463.57423100000005
0,7,AdultCensus,0.35,0.8419436292909301,0.1162001321290194,464.1351020000002
0,7,AdultCensus,0.45,0.8462430901521872,0.1106851332279889,466.3869969999996
0,7,AdultCensus,0.55,0.8413294205964649,0.0938459058260458,469.0550820000008
0,7,AdultCensus,0.65,0.8448781819422644,0.0799726325231028,461.9820469999995
0,7,AdultCensus,0.75,0.834777861188835,0.0275199512755815,490.50042200000007
0,7,AdultCensus,0.8500000000000001,0.8303419095065857,0.0034829266809442,478.3190029999996
0,7,AdultCensus,0.95,0.828089810960213,0.0056814551863251,459.4886760000009
0,8,AdultCensus,0.05,0.8473350167201256,0.1805348290959607,465.220931
0,8,AdultCensus,0.15,0.846584317204668,0.1813536578719932,470.9661729999998
0,8,AdultCensus,0.25,0.844673445710776,0.115029865003583,463.6085700000001
0,8,AdultCensus,0.35,0.8469937896676448,0.1680546722342351,463.4801849999999
0,8,AdultCensus,0.45,0.8411246843649764,0.1048962668926043,464.7071500000002
0,8,AdultCensus,0.55,0.8393503036920767,0.0781545572392852,469.4273840000005
0,8,AdultCensus,0.65,0.8407152119019996,0.0671589960961693,462.2011939999993
0,8,AdultCensus,0.75,0.8349825974203234,0.0397469745811166,487.3810940000003
0,8,AdultCensus,0.8500000000000001,0.8305466457380741,0.0189926649677164,475.6459699999996
0,8,AdultCensus,0.95,0.8271343752132669,0.0098348227713022,460.64070399999946
0,9,AdultCensus,0.05,0.8497236060874906,0.1888072086008745,459.150239
0,9,AdultCensus,0.15,0.8545690302327168,0.1317957252726077,472.09994900000015
0,9,AdultCensus,0.25,0.8529311403808094,0.1302638024585015,465.9196250000005
0,9,AdultCensus,0.35,0.8519074592233672,0.0883102812858546,463.8424229999996
0,9,AdultCensus,0.45,0.8501330785504675,0.0901172342189999,465.34812699999975
0,9,AdultCensus,0.55,0.846106599331195,0.0625330896927348,464.2165769999992
0,9,AdultCensus,0.65,0.8444687094792875,0.0449014029229968,466.7124689999992
