Unnamed: 0,seed,dataset,alpha,acc,disparity,time
0,6,ACSIncome,1.95,0.7987083208170622,0.0525904669985934,1406.841908000002
0,6,ACSIncome,2.2,0.7950515670371483,0.0217918161997398,1379.9158450000032
0,6,ACSIncome,2.45,0.7967818163612697,0.0348486225511773,1374.2088070000027
0,7,ACSIncome,0.2,0.8048362871733253,0.1660603150971554,1420.478716
0,7,ACSIncome,0.45,0.8033103033944128,0.1026730466603128,1317.2928490000013
0,7,ACSIncome,0.7,0.8040592770601782,0.1074301451275976,1354.8961930000005
0,7,ACSIncome,0.95,0.8015219785721438,0.0784481702567403,1433.774411000002
0,7,ACSIncome,1.2,0.8011775307900271,0.0774459775788057,1409.838742
0,7,ACSIncome,1.45,0.8004766196054871,0.064867888852877,1439.1315800000011
0,7,ACSIncome,1.7,0.7992550315410033,0.0590480749869073,1404.5167460000011
