seed,dataset,level,acc,disparity,time
7,COMPAS,0,0.6903409090909091,0.2235531260420452,16.453321000000017
7,COMPAS,1,0.6893939393939394,0.0826892166817158,17.595505000000003
7,COMPAS,2,0.6903409090909091,0.0597033379167712,17.480242000000004
7,COMPAS,4,0.6865530303030303,0.0287407784850675,16.32140099999998
7,COMPAS,6,0.6846590909090909,0.0191942391055926,16.293290000000013
7,COMPAS,10,0.6808712121212122,0.0117683203261109,17.311272000000002
7,COMPAS,15,0.6799242424242424,0.0110152377455479,15.956817999999998
7,COMPAS,25,0.6789772727272727,0.0117683203261109,16.68033200000002
7,COMPAS,35,0.6846590909090909,0.0038553332109417,16.87085799999997
7,COMPAS,50,0.678030303030303,0.0276579881080392,17.763781999999992
8,COMPAS,0,0.6865530303030303,0.2518623421182918,16.408064999999993
8,COMPAS,1,0.6751893939393939,0.160811946622454,16.531728
8,COMPAS,2,0.6695075757575758,0.1181191208133282,16.733830999999995
8,COMPAS,4,0.6695075757575758,0.0826799304572092,16.813343000000003
8,COMPAS,6,0.6666666666666666,0.0842803357396981,17.087966000000023
8,COMPAS,10,0.6704545454545454,0.0569467951596375,16.303439999999966
8,COMPAS,15,0.6685606060606061,0.0458245541316937,16.640600000000006
8,COMPAS,25,0.6666666666666666,0.0346102034472038,17.73994700000003
8,COMPAS,35,0.6714015151515151,0.0331019078212612,16.61399899999998
8,COMPAS,50,0.6666666666666666,0.0446962108390038,18.233690999999965
9,COMPAS,0,0.6846590909090909,0.2330529942243387,17.47904700000001
9,COMPAS,1,0.6818181818181818,0.1440988054626721,16.311916999999994
9,COMPAS,2,0.6761363636363636,0.1111336283086207,15.618472999999994
9,COMPAS,4,0.6695075757575758,0.0490874905709235,16.699296000000004
9,COMPAS,6,0.6732954545454546,0.0369957555082694,16.292921000000007
9,COMPAS,10,0.6723484848484849,0.0291710293736841,15.745378999999986
9,COMPAS,15,0.6695075757575758,0.0219767847693676,16.506163000000015
9,COMPAS,25,0.6685606060606061,0.0195787032345954,16.52594099999999
9,COMPAS,35,0.6676136363636364,0.0194773758458022,17.80560600000001
9,COMPAS,50,0.6685606060606061,0.0233390752186983,18.21706700000001
10,COMPAS,0,0.6600378787878788,0.2830550118685712,15.652016999999944
10,COMPAS,1,0.6647727272727273,0.1517511348019822,17.718020000000024
10,COMPAS,2,0.665719696969697,0.1013201182692707,15.809999000000005
10,COMPAS,4,0.6534090909090909,0.0543039187106983,15.80440299999998
10,COMPAS,6,0.6486742424242424,0.0260275684004497,16.663200000000074
10,COMPAS,10,0.6486742424242424,0.0220297338941407,18.40409
10,COMPAS,15,0.6515151515151515,0.0161579144629991,15.832333000000062
10,COMPAS,25,0.6448863636363636,0.0161995585724399,17.61460399999993
10,COMPAS,35,0.6486742424242424,0.002373714238121,17.35215500000004
10,COMPAS,50,0.6458333333333334,0.0062466164161079,17.024153000000013
11,COMPAS,0,0.6429924242424242,0.3154209027144482,18.010808999999995
11,COMPAS,1,0.6543560606060606,0.1854741558865583,17.539406999999983
11,COMPAS,2,0.646780303030303,0.1456412334920795,17.277143000000024
11,COMPAS,4,0.6429924242424242,0.0789002600736312,17.918950999999993
11,COMPAS,6,0.6401515151515151,0.0740027696152936,16.970992000000024
11,COMPAS,10,0.6354166666666666,0.0457324281419934,17.19025899999997
11,COMPAS,15,0.634469696969697,0.0345751567759876,17.58651999999995
11,COMPAS,25,0.6183712121212122,0.0078585019308496,17.354651999999987
11,COMPAS,35,0.6193181818181818,0.0263113452899652,15.830682000000024
11,COMPAS,50,0.6316287878787878,0.0090293962013487,16.424232000000018
12,COMPAS,0,0.6818181818181818,0.3012828144532413,16.66665999999998
12,COMPAS,1,0.6628787878787878,0.1426424191916185,16.604951000000028
12,COMPAS,2,0.6581439393939394,0.1214060360735758,19.093659
12,COMPAS,4,0.6600378787878788,0.0637537948687422,16.261075000000005
12,COMPAS,6,0.6638257575757576,0.0568486219417822,17.759817999999996
12,COMPAS,10,0.6553030303030303,0.0459104708613608,16.355451999999957
12,COMPAS,15,0.6600378787878788,0.0403893088874338,15.999199000000033
12,COMPAS,25,0.6609848484848485,0.0230817310554199,17.35820799999999
12,COMPAS,35,0.65625,0.0256265253884159,15.944814000000008
12,COMPAS,50,0.6581439393939394,0.0061908446931365,16.293249000000003
13,COMPAS,0,0.6732954545454546,0.2313149645273057,17.34375799999998
13,COMPAS,1,0.6808712121212122,0.1212671176373536,15.74405999999999
13,COMPAS,2,0.6799242424242424,0.073667711598746,16.59394500000002
13,COMPAS,4,0.6723484848484849,0.0403398779079359,17.176424999999995
13,COMPAS,6,0.6638257575757576,0.0061046032007919,18.75060300000001
13,COMPAS,10,0.6647727272727273,0.0159214651047681,16.40299200000004
13,COMPAS,15,0.6628787878787878,0.0042072265302755,16.43099499999994
13,COMPAS,25,0.6666666666666666,0.0106418082824616,16.043070999999998
13,COMPAS,35,0.6628787878787878,0.030110542814717,16.49125399999997
13,COMPAS,50,0.6685606060606061,0.0042072265302755,16.288407000000007
14,COMPAS,0,0.6856060606060606,0.2386015253341388,17.496865000000014
14,COMPAS,1,0.6865530303030303,0.1510760401721664,16.695731000000023
