seed,dataset,lambda_mmd,in_processing,acc,disparity,time
1,COMPAS,1.8,True,0.6590909090909091,0.004114556955006,144.96262300000035
1,COMPAS,1.9,True,0.6600378787878788,0.0144619468175953,144.8825110000007
1,COMPAS,2.0,True,0.665719696969697,0.0292861816689648,144.40786000000026
1,COMPAS,2.1,True,0.65625,0.0146172131177843,146.36244200000056
1,COMPAS,2.2,True,0.6723484848484849,0.0146135163011131,142.85177900000053
1,COMPAS,2.3,True,0.6714015151515151,0.0226910607276074,140.43639800000074
1,COMPAS,2.4,True,0.6723484848484849,0.0276706727836659,145.9096640000007
1,COMPAS,2.5,True,0.6647727272727273,0.0210755518423085,146.55831699999908
1,COMPAS,2.6,True,0.6628787878787878,0.0314414257882537,148.83462000000054
1,COMPAS,2.7,True,0.6723484848484849,0.0321142464224056,149.99171000000024
1,COMPAS,2.8,True,0.6600378787878788,0.016768760420402,150.8655409999992
1,COMPAS,2.9,True,0.6609848484848485,0.0366909054613072,149.93642999999977
1,COMPAS,3.0,True,0.6590909090909091,0.0221550223102885,146.24581799999942
1,COMPAS,3.1,True,0.6609848484848485,0.0243065696129063,146.30108899999868
1,COMPAS,3.2,True,0.6714015151515151,0.0364210378443122,147.78555700000106
1,COMPAS,3.3,True,0.6600378787878788,0.0457074413222773,152.67757100000017
1,COMPAS,3.4,True,0.6704545454545454,0.0414006499003707,160.71478799999932
1,COMPAS,3.5,True,0.6704545454545454,0.0432860264026646,153.0311099999999
1,COMPAS,3.6,True,0.6695075757575758,0.0299590023031167,153.61043700000118
1,COMPAS,3.7,True,0.6571969696969697,0.0156929867690931,157.49625600000036
1,COMPAS,3.8,True,0.6685606060606061,0.0302288699201118,155.4701359999999
1,COMPAS,3.9,True,0.665719696969697,0.0450346206881254,149.2126819999976
1,COMPAS,4.0,True,0.6704545454545454,0.0405947438660569,149.5820509999994
1,COMPAS,4.1,True,0.6685606060606061,0.0374968114956211,145.29047600000013
1,COMPAS,4.2,True,0.6666666666666666,0.0485355060757182,149.4373859999996
1,COMPAS,4.3,True,0.6666666666666666,0.0349386143591753,149.87729200000103
1,COMPAS,4.4,True,0.6600378787878788,0.0362879524441503,150.79989899999964
1,COMPAS,4.5,True,0.6676136363636364,0.0409976968832138,151.94299299999693
1,COMPAS,4.6,True,0.665719696969697,0.0397851410150719,152.96076899999937
1,COMPAS,4.7,True,0.665719696969697,0.0208056842253135,151.6584070000008
1,COMPAS,4.8,True,0.6695075757575758,0.0352084819761703,150.5725250000014
1,COMPAS,4.9,True,0.6666666666666666,0.0427462911686746,158.34896800000024
2,COMPAS,0.0,True,0.6770833333333334,0.2443809017156537,148.278219
2,COMPAS,0.1,True,0.6676136363636364,0.1370527995744114,159.923297
2,COMPAS,0.2,True,0.6723484848484849,0.041716540320078,154.42217699999992
2,COMPAS,0.3,True,0.6704545454545454,0.0385689586381167,152.93374800000015
2,COMPAS,0.4,True,0.6789772727272727,0.0486545196613025,153.01155199999994
2,COMPAS,0.5,True,0.6704545454545454,0.0216340825464378,150.94500300000027
2,COMPAS,0.6,True,0.6751893939393939,0.0206809416145764,145.5901879999999
2,COMPAS,0.7,True,0.6742424242424242,0.012590326727845,152.05716200000006
2,COMPAS,0.8,True,0.6751893939393939,0.004056390477457,147.0542919999998
2,COMPAS,0.9,True,0.6695075757575758,0.0196613024781663,150.84226700000045
2,COMPAS,1.0,True,0.6704545454545454,0.0168018796825819,145.4654300000002
2,COMPAS,1.1,True,0.6676136363636364,0.009287582568604,148.49060899999995
