seed,dataset,alpha,acc,disparity,time
5,AdultCensus,0.0555555555555555,0.3783525557906231,0.5065928320824866,1.1291450000000005
5,AdultCensus,0.1111111111111111,0.7446256739234286,0.1950373860428818,1.2559440000000013
5,AdultCensus,0.1666666666666666,0.5059032280079164,0.9370455017660504,1.5688330000000017
5,AdultCensus,0.2222222222222222,0.5059032280079164,0.9345522543112404,1.268212000000002
5,AdultCensus,0.2777777777777778,0.5059032280079164,0.935383336796177,1.392318000000003
5,AdultCensus,0.3333333333333333,0.7398484951886986,0.5644777905030245,0.9648690000000002
5,AdultCensus,0.3888888888888888,0.8401692486180304,0.225062837943983,0.8899350000000013
5,AdultCensus,0.4444444444444444,0.8411246843649764,0.2117272368703325,0.7184260000000009
5,AdultCensus,0.5,0.8415341568279533,0.2095885719401553,0.5439990000000066
6,AdultCensus,0.0,0.5456220569166723,0.6853269777370548,0.661699
6,AdultCensus,0.0555555555555555,0.4378625537432608,0.7221996366072319,0.8126759999999997
6,AdultCensus,0.1111111111111111,0.4573124957346618,0.2728866521885207,1.2068080000000003
6,AdultCensus,0.1666666666666666,0.5064491912918856,0.9387839800788546,1.621492
6,AdultCensus,0.2222222222222222,0.5071998908073432,0.9369163726914298,1.4340970000000013
6,AdultCensus,0.2777777777777778,0.5075411178598239,0.93795393235111,1.2830549999999974
6,AdultCensus,0.3333333333333333,0.7016993107213539,0.6317316509884797,0.9207019999999986
6,AdultCensus,0.3888888888888888,0.8396915307445574,0.2364151113083958,0.8526279999999957
6,AdultCensus,0.4444444444444444,0.8407152119019996,0.2189123640015036,0.8130469999999974
6,AdultCensus,0.5,0.8412611751859688,0.2153326038130454,0.7314790000000002
7,AdultCensus,0.0,0.5300621033235515,0.186385556218573,0.739865
7,AdultCensus,0.0555555555555555,0.6857298846652563,0.0902630422026591,0.8267309999999997
7,AdultCensus,0.1111111111111111,0.4074933460724766,0.1534358030223913,1.3182969999999994
7,AdultCensus,0.1666666666666666,0.509929707227189,0.9402769167183302,1.5245400000000018
7,AdultCensus,0.2222222222222222,0.510885142974135,0.9402769167183302,1.41535
7,AdultCensus,0.2777777777777778,0.511362860847608,0.9404835709857408,1.348050999999998
7,AdultCensus,0.3333333333333333,0.7613457994949839,0.5234475524566821,0.9111839999999988
7,AdultCensus,0.3888888888888888,0.8348461065993312,0.2291277821204513,0.8899039999999943
7,AdultCensus,0.4444444444444444,0.8364157510407425,0.2154537720468244,0.8316569999999999
7,AdultCensus,0.5,0.836688732682727,0.2107494078851974,0.7486450000000033
8,AdultCensus,0.0,0.6895516276530403,0.247660778957517,0.630895
8,AdultCensus,0.0555555555555555,0.3425919606906435,0.479407311109868,0.9375169999999996
8,AdultCensus,0.1111111111111111,0.4604517846174845,0.8734017653740279,1.4600530000000005
8,AdultCensus,0.1666666666666666,0.5068586637548624,0.9396932128598444,1.5774429999999988
8,AdultCensus,0.2222222222222222,0.5079505903228008,0.9367514183652028,1.3376759999999983
8,AdultCensus,0.2777777777777778,0.5082918173752815,0.9373818028997688,1.2953630000000018
8,AdultCensus,0.3333333333333333,0.7678973589026138,0.5060945879230114,0.9379139999999992
8,AdultCensus,0.3888888888888888,0.8312973452535317,0.2230206484172446,0.8696669999999926
