seed,dataset,lambda_mmd,in_processing,acc,disparity,time
3,ACSIncome,0.5,True,0.7993271252628417,0.0866192153951668,1111.407368
3,ACSIncome,1.0,True,0.7976349254030239,0.0647739719498311,1100.906909
3,ACSIncome,2.0,True,0.7949314108340844,0.0447091917215771,1099.480007
3,ACSIncome,3.0,True,0.7908020426554521,0.03363540344595,1097.539177
3,ACSIncome,4.0,True,0.7897847201361771,0.0250562519297606,1103.100668
3,ACSIncome,5.0,True,0.7878401922499249,0.0295109781403172,1096.874299
3,ACSIncome,10.0,True,0.7806768799439271,0.0149157560079336,1107.953149
4,ACSIncome,0.0,True,0.8036467407629919,0.1894671698897241,1114.360941
4,ACSIncome,0.1,True,0.8025913687794133,0.145645830325287,1104.23647
4,ACSIncome,0.25,True,0.7998738359867829,0.1030844813554408,1092.296709
4,ACSIncome,0.5,True,0.7991749274056273,0.0809624077069877,1111.460693
4,ACSIncome,1.0,True,0.7976289175928707,0.0627985727219461,1092.567303
4,ACSIncome,2.0,True,0.7937398618203665,0.0387662611383102,1092.239788
4,ACSIncome,3.0,True,0.791412836687694,0.0281022869275027,1096.316035
4,ACSIncome,4.0,True,0.7897727045158707,0.0261679988511231,1102.723339
4,ACSIncome,5.0,True,0.7872794633022929,0.0242147162028557,1091.718631
4,ACSIncome,10.0,True,0.7820626814859317,0.0076605798861118,1100.659476
5,ACSIncome,0.0,True,0.8046180034044258,0.2037031452213503,1110.495947
5,ACSIncome,0.1,True,0.8044998498047462,0.151944326020758,1107.543117
5,ACSIncome,0.25,True,0.8036227095223791,0.1192782874778126,1097.687168
5,ACSIncome,0.5,True,0.8008591168519075,0.0850271242113955,1107.066941
5,ACSIncome,1.0,True,0.7980674877340542,0.0617253671038146,1098.839082
5,ACSIncome,2.0,True,0.7942805647341544,0.0334161553702775,1092.620066
5,ACSIncome,3.0,True,0.7925162711524982,0.0286662606490407,1095.038316
5,ACSIncome,4.0,True,0.790025032542305,0.0231886248451156,1098.639536
5,ACSIncome,5.0,True,0.7884009211975568,0.0177716933529291,1091.690182
5,ACSIncome,10.0,True,0.7814458796435366,0.0113895850138769,1088.905419
6,ACSIncome,0.0,True,0.8038670271352759,0.1841369308735694,1105.719393
