seed,dataset,epsilon,acc,disparity,time
12,AdultCensus,0.021,0.8548420118747014,0.0159555678017812,133.0974142551422
12,AdultCensus,0.031,0.8630997065447349,0.056808297473254,125.15383863449097
12,AdultCensus,0.041,0.8627584794922541,0.0563974765405953,139.31512689590454
12,AdultCensus,0.051,0.8661707500170613,0.0843885261078126,118.9506163597107
12,AdultCensus,0.061,0.866034259196069,0.0851123936458964,149.76922154426575
12,AdultCensus,0.071,0.8694465297208762,0.1137799740542585,150.7080283164978
12,AdultCensus,0.081,0.8718351190882413,0.1276461667126744,138.42707109451294
12,AdultCensus,0.091,0.8724493277827066,0.1419271250284937,162.05561304092407
13,AdultCensus,0.001,0.8580495461680202,0.059096923759155,126.32549834251404
13,AdultCensus,0.011,0.8572306012420665,0.0547978400844317,122.94320750236513
13,AdultCensus,0.021,0.8592097181464546,0.0582779648542187,112.97376704216003
13,AdultCensus,0.031,0.858390773220501,0.0589945486567799,114.38131022453308
13,AdultCensus,0.041,0.8582542823995086,0.0585849644191507,137.18982863426208
13,AdultCensus,0.051,0.8614618166928274,0.0719945939239695,138.33455085754397
13,AdultCensus,0.061,0.8643281239336654,0.0990186031383574,152.00720882415771
13,AdultCensus,0.071,0.865078823449123,0.1153969010417321,157.68897557258606
13,AdultCensus,0.081,0.8661707500170613,0.1248146560070818,168.75618290901184
13,AdultCensus,0.091,0.868832321026411,0.1525557939068686,187.2105622291565
14,AdultCensus,0.001,0.8489046611615368,0.0011563943252665,150.982515335083
14,AdultCensus,0.011,0.8499283423189791,0.0029991881679194,147.53127241134644
14,AdultCensus,0.021,0.8553879751586706,0.0274689557550468,127.81378507614136
14,AdultCensus,0.031,0.8599604176619122,0.0494809661745017,111.26296472549438
14,AdultCensus,0.041,0.8596191906094315,0.0500953425824476,140.7766923904419
14,AdultCensus,0.051,0.8676039036374804,0.1008739824063222,121.45050024986269
14,AdultCensus,0.061,0.8648740872176346,0.0833681535861366,156.81682991981506
14,AdultCensus,0.071,0.8689005664369072,0.1163328121649463,141.59495162963867
14,AdultCensus,0.081,0.868354603152938,0.1151043947302393,161.28860545158386
14,AdultCensus,0.091,0.8699242475943493,0.1224756539461474,184.3125982284546
15,AdultCensus,0.001,0.8547737664642053,0.0166460455729263,129.63866877555847
15,AdultCensus,0.011,0.8597556814304238,0.0409312831070156,147.97680640220642
