Unnamed: 0,seed,dataset,lambda,acc,disparity,time
0,5,COMPAS,0.75,0.6619318181818182,0.0185130067265908,96.84822699999997
0,5,COMPAS,0.8500000000000001,0.6590909090909091,0.0007887374248467,94.75515400000018
0,5,COMPAS,0.95,0.6600378787878788,0.0091969760104768,94.099471
0,6,COMPAS,0.05,0.6742424242424242,0.2225493804441172,78.22289800000001
0,6,COMPAS,0.15,0.6685606060606061,0.1565452091767881,90.72664399999996
0,6,COMPAS,0.25,0.6742424242424242,0.1275917065390749,90.89417699999996
0,6,COMPAS,0.35,0.6676136363636364,0.0889461415777205,90.562633
0,6,COMPAS,0.45,0.6609848484848485,0.0583977426082689,90.3212279999999
0,6,COMPAS,0.55,0.6647727272727273,0.0380321432953011,90.85898599999996
0,6,COMPAS,0.65,0.6714015151515151,0.02269660164397,90.60118399999988
0,6,COMPAS,0.75,0.6600378787878788,0.0069930069930069,96.77947399999994
0,6,COMPAS,0.8500000000000001,0.6571969696969697,0.0127591706539075,95.0724339999997
0,6,COMPAS,0.95,0.6590909090909091,0.0404858299595142,93.30500200000006
0,7,COMPAS,0.05,0.6893939393939394,0.1713656272128825,80.535792
0,7,COMPAS,0.15,0.6818181818181818,0.1406578419875385,90.25208299999996
0,7,COMPAS,0.25,0.6941287878787878,0.1144048586939824,90.84643900000005
0,7,COMPAS,0.35,0.6893939393939394,0.0716365121411149,90.56576999999992
0,7,COMPAS,0.45,0.6846590909090909,0.0541132920948809,91.568311
0,7,COMPAS,0.55,0.6865530303030303,0.0337688223811647,92.64693699999998
0,7,COMPAS,0.65,0.6827651515151515,0.0250390591338426,91.82460399999992
0,7,COMPAS,0.75,0.6789772727272727,0.0227161178405637,95.68636300000004
0,7,COMPAS,0.8500000000000001,0.6818181818181818,0.0130834048324672,92.60430999999994
0,7,COMPAS,0.95,0.6770833333333334,0.0547277475337482,94.71234000000004
0,8,COMPAS,0.05,0.6751893939393939,0.2497898748460041,78.77485499999999
0,8,COMPAS,0.15,0.6789772727272727,0.2084096116426605,89.55764699999997
0,8,COMPAS,0.25,0.6742424242424242,0.1511980012204529,90.38156700000002
0,8,COMPAS,0.35,0.6751893939393939,0.1201915880856159,92.4290410000001
0,8,COMPAS,0.45,0.6714015151515151,0.1344225300219911,94.16271400000004
0,8,COMPAS,0.55,0.6770833333333334,0.0837161640933531,92.59079300000008
0,8,COMPAS,0.65,0.6666666666666666,0.0316857218518646,90.45823100000008
0,8,COMPAS,0.75,0.6732954545454546,0.0401713239611757,97.42940599999996
0,8,COMPAS,0.8500000000000001,0.6761363636363636,0.0201029325411902,94.8118860000002
0,8,COMPAS,0.95,0.6742424242424242,0.0182146845819948,94.67007400000011
0,9,COMPAS,0.05,0.6922348484848485,0.2411817025253037,79.267822
0,9,COMPAS,0.15,0.6931818181818182,0.1976897355355152,91.462266
0,9,COMPAS,0.25,0.6827651515151515,0.1473300233052994,90.834364
0,9,COMPAS,0.35,0.6751893939393939,0.1281228538296124,90.28477200000007
0,9,COMPAS,0.45,0.6704545454545454,0.0961146575697188,91.50165200000004
0,9,COMPAS,0.55,0.6770833333333334,0.0643091160874117,92.11833999999988
0,9,COMPAS,0.65,0.6704545454545454,0.0637799619459361,87.51595799999996
0,9,COMPAS,0.75,0.6714015151515151,0.0465655644498485,95.87654999999997
0,9,COMPAS,0.8500000000000001,0.6638257575757576,0.0175859312549959,94.13678700000014
0,9,COMPAS,0.95,0.6515151515151515,0.0225509733058623,94.25439499999992
0,10,COMPAS,0.05,0.6619318181818182,0.2529046766334902,79.621206
0,10,COMPAS,0.15,0.6628787878787878,0.2227959855078499,90.208527
0,10,COMPAS,0.25,0.6695075757575758,0.1846916253695915,92.03992900000004
0,10,COMPAS,0.35,0.6638257575757576,0.1351351351351351,90.41718500000002
0,10,COMPAS,0.45,0.6600378787878788,0.1080664639986673,90.10791500000003
0,10,COMPAS,0.55,0.6590909090909091,0.0812893016282846,91.96041300000002
