seed,dataset,level,acc,disparity,time
7,ACSIncome,4,0.800140182236908,0.0798520579768592,120.3914619999996
7,ACSIncome,6,0.798482026634625,0.0614607026236536,120.84704299999794
7,ACSIncome,10,0.7959026734755181,0.0433302953834622,119.00076400000034
7,ACSIncome,15,0.7934154400720937,0.0246337090735202,120.85242300000029
7,ACSIncome,25,0.790405527185341,0.0096629722167513,119.62029900000198
7,ACSIncome,35,0.7906578552117753,0.0140219203542855,120.42128199999934
7,ACSIncome,50,0.7883568639231,0.0104067937566967,118.51239899999928
8,ACSIncome,0,0.8053769900871133,0.1836626318988623,117.17204199999831
8,ACSIncome,1,0.8043055972764594,0.1389107737873301,117.15781900000002
8,ACSIncome,2,0.803055972764594,0.110518606254626,116.11674700000005
8,ACSIncome,4,0.8007309502353059,0.0791497909701499,116.62788400000136
8,ACSIncome,6,0.7987083208170622,0.0604259230283389,115.79756399999678
8,ACSIncome,10,0.7958526083909082,0.0371215800321854,117.4704690000035
8,ACSIncome,15,0.7943366376289176,0.0227584090429155,116.94353699999556
8,ACSIncome,25,0.7937278462000601,0.017407941756119,115.964855000002
8,ACSIncome,35,0.7924161409832783,0.0093984953746382,115.87215000000288
8,ACSIncome,50,0.7912946830880144,0.0019933878645386,116.07197299999824
9,ACSIncome,0,0.8037008110543706,0.2017886242888887,116.76934899999831
9,ACSIncome,1,0.8028997697006108,0.1448180702591159,115.94284699999844
9,ACSIncome,2,0.801598077500751,0.1161455738172345,116.11624900000244
9,ACSIncome,4,0.7984099329127866,0.0737508464802353,116.5072609999952
9,ACSIncome,6,0.7972424151396816,0.0604590605932103,115.36140900000464
9,ACSIncome,10,0.7943967157304496,0.033419798337744,117.37775399999737
9,ACSIncome,15,0.7936617602883749,0.0289755410896001,117.21791900000244
9,ACSIncome,25,0.7924862321017323,0.016565714281638,116.30303099999946
9,ACSIncome,35,0.7922078702313007,0.0140784611136809,117.5506099999984
9,ACSIncome,50,0.7905557224391709,0.0026910957367652,117.05217900000208
